item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
3.5C x 35 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx35/16 A2XFY;Aluminium;XLPE/EPR;1.11;0.0787;500;0.114;Under Ground;3.33;0.2361;3.33;0.2361;3.31;
3.5C x 35 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx35/16 A2XFY;Aluminium;XLPE/EPR;1.11;0.0787;500;0.114;Under Ground;3.33;0.2361;3.33;0.2361;3.31;
3.5C x 35 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx35/16 A2XFY;Aluminium;XLPE/EPR;1.11;0.0787;500;0.097;Under Ground;3.33;0.2361;3.33;0.2361;3.31;
3.5C x 50 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx50/25 A2XFY;Aluminium;XLPE/EPR;0.82;0.078;530;0.134;Under Ground;2.46;0.234;2.46;0.234;4.73;
3.5C x 50 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx50/25 A2XFY;Aluminium;XLPE/EPR;0.82;0.078;530;0.138;Under Ground;2.46;0.234;2.46;0.234;4.73;
3.5C x 50 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx50/25 A2XFY;Aluminium;XLPE/EPR;0.82;0.078;530;0.114;Under Ground;2.46;0.234;2.46;0.234;4.73;
3.5C x 70 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx70/35 A2XFY;Aluminium;XLPE/EPR;0.568;0.0742;560;0.164;Under Ground;1.704;0.2226;1.704;0.2226;6.62;
3.5C x 70 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx70/35 A2XFY;Aluminium;XLPE/EPR;0.568;0.0742;560;0.175;Under Ground;1.704;0.2226;1.704;0.2226;6.62;
3.5C x 70 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx70/35 A2XFY;Aluminium;XLPE/EPR;0.568;0.0742;560;0.139;Under Ground;1.704;0.2226;1.704;0.2226;6.62;
3.5C x 95 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx95/50 A2XFY;Aluminium;XLPE/EPR;0.41;0.0725;650;0.197;Under Ground;1.23;0.2175;1.23;0.2175;8.98;
